,Common,Median,Trim
06-Jun,1.8,1.8,1.8
06-Jul,2,2,2
06-Aug,2.1,2,2.1
06-Sep,2.1,2.1,2.3
06-Oct,2.3,2.1,2.4
06-Nov,2.4,2.2,2.5
06-Dec,2.2,2.2,2.5
07-Jan,2.2,2.3,2.5
07-Feb,2.5,2.5,2.8
07-Mar,2.5,2.4,2.8
07-Apr,2.6,2.5,2.8
07-May,2.6,2.5,2.8
07-Jun,2.6,2.7,2.9
07-Jul,2.5,2.6,2.7
07-Aug,2.4,2.5,2.5
07-Sep,2.4,2.6,2.5
07-Oct,2.3,2.5,2.3
07-Nov,2.1,2.3,2.2
07-Dec,2.2,2.4,2.2
08-Jan,2.4,2.5,2.3
08-Feb,2.3,2.5,2.2
08-Mar,2.1,2.4,2
08-Apr,2.3,2.5,2.3
08-May,2.4,2.4,2.3
08-Jun,2.6,2.5,2.3
08-Jul,2.6,2.6,2.4
08-Aug,2.8,2.7,2.6
08-Sep,3.1,2.6,2.5
08-Oct,3,2.6,2.5
08-Nov,3.3,2.7,2.7
08-Dec,3.2,2.7,2.6
09-Jan,3.1,2.5,2.4
09-Feb,3.1,2.5,2.4
09-Mar,3.3,2.5,2.4
09-Apr,3.1,2.2,2
09-May,3.2,2.2,2
09-Jun,3.1,2.1,1.9
09-Jul,2.8,1.9,1.6
09-Aug,2.4,1.7,1.5
09-Sep,2.4,1.7,1.3
09-Oct,2.4,1.7,1.4
09-Nov,2.1,1.8,1.4
09-Dec,1.9,1.7,1.3
10-Jan,1.8,1.7,1.3
10-Feb,1.7,1.7,1.3
10-Mar,1.5,1.5,1.1
10-Apr,1.3,1.7,1.3
10-May,1,1.6,1.2
10-Jun,1,1.5,1.1
10-Jul,1.1,1.6,1.3
10-Aug,1.2,1.6,1.2
10-Sep,0.9,1.6,1.3
10-Oct,1.1,1.7,1.4
10-Nov,1,1.5,1.2
10-Dec,1.2,1.6,1.4
11-Jan,1.2,1.6,1.3
11-Feb,1.2,1.4,1.1
11-Mar,1.8,1.8,1.6
11-Apr,1.7,1.8,1.6
11-May,1.9,2,1.8
11-Jun,1.9,2,1.8
11-Jul,1.9,1.9,1.8
11-Aug,2,2.1,2
11-Sep,2.1,2,2.1
11-Oct,2,1.9,2
11-Nov,2.1,2.1,2.1
11-Dec,2,1.9,1.9
12-Jan,2,2,2.1
12-Feb,2.2,2.1,2.2
12-Mar,1.6,1.9,1.9
12-Apr,1.9,2,2
12-May,1.7,1.7,1.6
12-Jun,1.7,1.6,1.5
12-Jul,1.6,1.6,1.5
12-Aug,1.6,1.7,1.5
12-Sep,1.4,1.6,1.4
12-Oct,1.5,1.7,1.3
12-Nov,1.5,1.6,1.2
12-Dec,1.4,1.7,1.2
13-Jan,1.3,1.5,1
13-Feb,1.4,1.6,1.2
13-Mar,1.4,1.6,1.2
13-Apr,1.2,1.5,1
13-May,1.1,1.5,1.1
13-Jun,1.2,1.7,1.3
13-Jul,1.3,1.7,1.3
13-Aug,1.1,1.6,1.1
13-Sep,1.2,1.6,1.2
13-Oct,1.1,1.5,1.2
13-Nov,0.9,1.5,1.2
13-Dec,1.1,1.6,1.4
14-Jan,1.2,1.7,1.5
14-Feb,1.1,1.5,1.4
14-Mar,1.3,1.6,1.5
14-Apr,1.3,1.7,1.6
14-May,1.3,1.8,1.7
14-Jun,1.3,1.8,1.8
14-Jul,1.3,1.7,1.6
14-Aug,1.3,1.7,1.7
14-Sep,1.3,1.8,1.7
14-Oct,1.4,1.8,1.7
14-Nov,1.6,1.8,1.7
14-Dec,1.5,1.7,1.7
15-Jan,1.6,1.8,1.7
15-Feb,1.5,1.7,1.6
15-Mar,1.5,1.8,1.6
15-Apr,1.5,1.6,1.4
15-May,1.7,1.7,1.5
15-Jun,1.7,1.6,1.5
15-Jul,1.7,1.8,1.6
15-Aug,1.8,1.8,1.6
15-Sep,1.8,1.8,1.6
15-Oct,1.9,1.8,1.7
15-Nov,2,2,1.8
15-Dec,1.8,2.1,1.8
16-Jan,1.9,2,1.8
16-Feb,1.8,2,1.8
16-Mar,1.8,2,1.8
16-Apr,1.8,2.1,2
16-May,1.7,2.2,2
16-Jun,1.7,2.2,2
16-Jul,1.6,2,1.9
16-Aug,1.5,2,1.8
16-Sep,1.3,2.1,1.8
16-Oct,1.3,2.1,1.8
16-Nov,1,1.9,1.6
16-Dec,1.2,1.9,1.6
17-Jan,1.1,1.9,1.6
17-Feb,1.1,1.8,1.5
17-Mar,1,1.7,1.4
17-Apr,1,1.6,1.3
17-May,0.8,1.6,1.2
17-Jun,0.9,1.6,1.2
17-Jul,1.1,1.7,1.3
17-Aug,1.2,1.7,1.4
17-Sep,1.2,1.6,1.4
17-Oct,1.3,1.6,1.4
17-Nov,1.4,1.7,1.7
17-Dec,1.5,1.8,1.7
18-Jan,1.6,1.8,1.8
18-Feb,1.8,1.9,2
18-Mar,1.9,1.9,1.9
18-Apr,1.9,2,2
18-May,1.9,1.9,1.8
18-Jun,1.9,1.9,2
18-Jul,2.1,1.9,2
18-Aug,2,2,2.1
18-Sep,1.9,1.9,2
18-Oct,1.9,2,2
18-Nov,1.8,1.9,1.9
18-Dec,1.8,1.9,1.9
19-Jan,1.7,1.8,1.9
19-Feb,1.9,1.9,1.9
19-Mar,1.9,2,2.2
19-Apr,2,2,2
19-May,2.1,2.1,2.2
19-Jun,2,2,2
19-Jul,2.1,2,2
19-Aug,2,2,2
19-Sep,2.2,2,2
19-Oct,2.2,2,2
19-Nov,2.4,2.1,2.2
19-Dec,2.3,2,2
20-Jan,2.2,2.1,2.1
20-Feb,1.9,2,2
20-Mar,1.5,1.9,1.8
20-Apr,1.3,2,1.9
20-May,1.1,1.8,1.6
20-Jun,1.2,1.9,1.8
20-Jul,1,1.8,1.7
20-Aug,1.2,1.8,1.7
20-Sep,1.2,2,1.7
20-Oct,1.5,2,1.8
20-Nov,1.5,2,1.8
20-Dec,1.4,2,1.8
21-Jan,1.4,2.1,1.8
21-Feb,1.5,2.1,1.9
21-Mar,2.1,2.2,2
21-Apr,2.4,2.2,2.3
21-May,2.8,2.5,2.6
21-Jun,2.8,2.6,2.6
21-Jul,3,2.7,3
21-Aug,3.3,2.9,3.2
21-Sep,3.5,3,3.4
21-Oct,3.4,2.9,3.4
21-Nov,3.6,3,3.4
21-Dec,3.6,3.2,3.8
22-Jan,4.1,3.4,4
22-Feb,4.6,3.6,4.3
22-Mar,5.1,4,4.7
22-Apr,5.5,4.4,5
