,year,CPICANALL,CPIGROCANALL,CPICANEXC,CPICANSER,CPICANGDS,CPICANENG,UNEMPC,CEIR,MSC,TSX,BLIC,RGDP,IRGDP,SRGDP,CBR,CIR
0,1961-01-01,15.7,1.29032258064516,17.3,13.2,17.5,11.5,7.6,,10114561917.4434,576.0,-12.2,151804.0,41230.2,89684.9,5.27,3.47
1,1961-02-01,15.7,1.29032258064516,17.3,13.2,17.5,11.5,7.7,,9838268974.7004,594.0,-12.8,152434.0,41269.9,90071.2,5.17,3.11
2,1961-03-01,15.7,1.94805194805196,17.3,13.2,17.5,11.5,7.6,,9924143808.255661,606.0,-1.8,151804.0,41141.3,89984.5,5.14,3.46
3,1961-04-01,15.7,1.29032258064516,17.3,13.2,17.5,11.5,7.6,,9927877496.67111,633.0,15.2,153956.0,41940.8,91079.3,5.21,3.57
4,1961-05-01,15.7,1.29032258064516,17.4,13.3,17.5,11.4,7.6,,9950279627.16378,646.0,17.8,154523.0,42144.6,91564.8,5.17,3.42
5,1961-06-01,15.7,1.29032258064516,17.3,13.3,17.5,11.3,7.4,,10043621837.5499,651.0,16.2,156890.0,42709.4,92596.2,5.04,2.8
6,1961-07-01,15.7,1.29032258064516,17.2,13.3,17.5,11.4,7.2,,10260175765.6458,662.0,16.4,156395.0,43300.2,92632.9,4.95,2.88
7,1961-08-01,15.7,1.29032258064516,17.2,13.3,17.5,11.5,6.8,,10472996005.3262,672.0,21.4,159797.0,43066.2,93862.4,4.99,2.76
8,1961-09-01,15.7,1.29032258064516,17.4,13.4,17.5,11.5,6.9,,10519667110.5193,662.0,26.0,158874.0,44070.3,93007.0,4.98,2.67
9,1961-10-01,15.7,0.0,17.4,13.4,17.5,11.5,6.5,,10654079893.475399,666.0,24.4,160007.0,44487.7,93574.2,4.97,2.74
10,1961-11-01,15.7,0.0,17.4,13.4,17.5,11.5,6.1,,10837030625.832201,686.0,18.0,160252.0,44653.6,93647.8,4.87,2.67
11,1961-12-01,15.7,0.0,17.4,13.4,17.5,11.3,6.0,,10922905459.3875,701.0,28.4,160396.0,44937.0,93889.8,4.94,3.18
12,1962-01-01,15.7,0.0,17.4,13.4,17.5,11.5,6.0,,10560737683.089201,683.0,21.8,163069.0,45126.4,94334.3,4.96,3.35
13,1962-02-01,15.7,0.0,17.4,13.4,17.5,11.5,6.2,,10170567243.6751,687.0,22.2,163745.0,45575.1,94581.4,4.95,3.42
14,1962-03-01,15.7,0.0,17.4,13.4,17.5,11.5,6.0,,10204170439.414099,686.0,21.2,165702.0,46250.2,95515.1,4.88,3.35
15,1962-04-01,15.8,0.636942675159235,17.4,13.4,17.5,11.4,5.9,,10405789613.8482,668.0,10.2,165315.0,46421.9,95557.1,4.81,3.35
16,1962-05-01,15.8,0.636942675159235,17.5,13.4,17.5,11.4,5.6,,10422591211.7177,612.0,4.4,166878.0,47184.8,95802.5,4.89,3.75
17,1962-06-01,15.9,1.27388535031848,17.5,13.5,17.6,11.4,5.7,,10474862849.534,572.0,1.6,167587.0,47535.5,95871.4,5.13,6.0
18,1962-07-01,15.9,1.27388535031848,17.5,13.6,17.8,11.4,6.0,,10476729693.7417,586.0,2.0,169488.0,48357.5,96883.9,5.41,6.0
19,1962-08-01,16.0,1.9108280254777,17.5,13.6,17.8,11.4,5.7,,10454327563.249,600.0,-1.0,168400.0,47317.7,97116.6,5.42,6.0
20,1962-09-01,15.9,1.27388535031848,17.5,13.6,17.7,11.4,5.7,,10797826897.47,572.0,0.0,169630.0,48452.1,97231.5,5.38,5.5
21,1962-10-01,16.0,1.9108280254777,17.5,13.6,17.8,11.3,5.7,,11096521970.7057,581.0,2.4,170262.0,48067.1,97711.1,5.19,5.0
22,1962-11-01,16.0,1.9108280254777,17.6,13.6,17.8,11.3,5.9,,11131992010.6525,626.0,7.6,170672.0,48140.8,98196.6,5.06,4.0
23,1962-12-01,16.0,1.9108280254777,17.6,13.6,17.8,11.3,6.0,,11344812250.332901,629.0,14.4,170126.0,48053.8,98358.4,5.11,4.0
24,1963-01-01,16.0,1.9108280254777,17.6,13.7,17.8,11.2,5.9,,11061051930.758999,660.0,10.4,171162.0,48217.3,98589.6,5.1,4.0
25,1963-02-01,16.0,1.9108280254777,17.6,13.7,17.9,11.3,5.8,,10609275632.49,638.0,10.2,172141.0,48580.9,99023.8,5.11,4.0
26,1963-03-01,16.0,1.9108280254777,17.6,13.7,17.9,11.2,5.9,,10687683089.2144,658.0,9.4,173262.0,49124.4,99360.0,5.11,4.0
27,1963-04-01,16.0,1.26582278481012,17.7,13.7,17.9,11.3,5.7,,11107723035.9521,689.0,15.2,173616.0,49179.9,99948.9,5.01,4.0
28,1963-05-01,16.0,1.26582278481012,17.8,13.8,17.9,11.3,5.7,,11247736351.5313,700.0,19.6,175529.0,49873.4,100900.5,4.95,3.5
29,1963-06-01,16.0,0.628930817610051,17.8,13.8,18.0,11.3,5.5,,11223467376.8309,674.0,16.4,177076.0,50266.1,101495.3,4.95,3.5
30,1963-07-01,16.2,1.88679245283018,17.8,13.8,18.1,11.0,5.4,,11370948069.241001,656.0,11.0,176401.0,49574.4,101783.6,5.06,3.5
31,1963-08-01,16.3,1.87500000000001,17.8,13.8,18.1,11.2,5.3,,11251470039.9467,661.0,10.2,177185.0,49539.1,102835.9,5.22,4.0
32,1963-09-01,16.2,1.88679245283018,17.8,13.8,18.0,11.2,5.3,,11468023968.042599,681.0,13.8,180753.0,51573.9,103289.1,5.22,4.0
33,1963-10-01,16.2,1.25,17.8,13.8,18.1,11.2,5.2,,11619238348.8682,686.0,15.4,181497.0,51520.0,103767.3,5.07,4.0
34,1963-11-01,16.3,1.87500000000001,17.9,13.9,18.1,11.2,5.1,,11647241011.984001,679.0,15.0,182125.0,52436.6,104165.3,5.14,4.0
35,1963-12-01,16.3,1.87500000000001,17.9,13.9,18.1,11.2,5.0,,11753651131.8242,703.0,8.0,184329.0,52993.9,105027.1,5.15,4.0
36,1964-01-01,16.3,1.87500000000001,17.9,13.9,18.1,11.2,4.9,,11673376830.8921,721.0,14.2,184225.0,53280.5,105912.1,5.17,4.0
37,1964-02-01,16.3,1.87500000000001,18.0,14.0,18.1,11.2,4.9,,11189864181.0919,715.0,15.8,186186.0,54242.3,106344.8,5.17,4.0
38,1964-03-01,16.3,1.87500000000001,18.0,14.0,18.1,11.3,4.8,,11426953395.4727,743.0,20.4,187007.0,53961.4,107174.7,5.22,4.0
39,1964-04-01,16.4,2.5,18.0,14.1,18.2,11.3,4.9,,11690178428.7617,770.0,18.4,186439.0,54433.7,107258.7,5.24,4.0
40,1964-05-01,16.4,2.5,18.1,14.2,18.2,11.3,4.6,,11660308921.438099,797.0,17.4,187881.0,55064.6,107615.0,5.2,4.0
41,1964-06-01,16.4,2.5,18.1,14.2,18.2,11.3,4.8,,11792854860.186401,796.0,20.2,188247.0,55127.5,108513.9,5.2,4.0
42,1964-07-01,16.5,1.85185185185186,18.1,14.2,18.3,11.3,4.6,,11856327563.249,814.0,25.8,189440.0,54775.8,109205.2,5.21,4.0
43,1964-08-01,16.5,1.22699386503067,18.1,14.2,18.2,11.3,4.6,,11863794940.0799,809.0,26.6,190074.0,55273.2,109650.0,5.24,4.0
44,1964-09-01,16.5,1.85185185185186,18.1,14.2,18.2,11.3,4.5,,11949669773.6352,844.0,26.6,192545.0,56495.0,110207.4,5.22,4.0
45,1964-10-01,16.5,1.85185185185186,18.2,14.2,18.2,11.2,4.9,,12156889480.6924,847.0,21.4,192258.0,56407.9,110457.7,5.19,4.0
46,1964-11-01,16.5,1.22699386503067,18.2,14.2,18.2,11.2,4.3,,12160623169.1079,850.0,23.6,193205.0,57374.1,110368.7,5.09,4.25
47,1964-12-01,16.6,1.840490797546,18.3,14.3,18.2,11.2,4.1,,12494788282.290298,854.0,24.8,195805.0,57346.4,111177.0,5.06,4.25
48,1965-01-01,16.6,1.840490797546,18.4,14.5,18.2,11.3,4.2,,12188625832.2237,901.0,22.0,197363.0,58236.6,111106.5,4.98,4.25
49,1965-02-01,16.6,1.840490797546,18.4,14.5,18.2,11.3,4.1,,11790988015.9787,897.0,24.2,197322.0,57908.3,111638.5,5.0,4.25
50,1965-03-01,16.6,1.840490797546,18.4,14.5,18.2,11.2,4.1,,11951536617.8429,890.0,29.8,199158.0,59132.9,112490.1,5.09,4.25
51,1965-04-01,16.7,1.82926829268294,18.4,14.6,18.3,11.2,4.4,,12323038615.1798,911.0,24.0,200377.0,59079.2,113497.4,5.05,4.25
52,1965-05-01,16.7,1.82926829268294,18.5,14.7,18.5,11.3,4.0,,12319304926.7643,909.0,22.6,198970.0,59515.8,113926.4,5.08,4.25
53,1965-06-01,16.9,3.04878048780486,18.6,14.7,18.6,11.3,4.1,,12554527296.937399,847.0,17.4,200652.0,59774.4,114332.3,5.15,4.25
54,1965-07-01,16.9,2.4242424242424,18.6,14.7,18.7,11.2,3.9,,12739344873.502,838.0,16.2,203900.0,61209.1,115561.9,5.24,4.25
55,1965-08-01,16.9,2.4242424242424,18.6,14.7,18.6,11.2,3.8,,12883091877.4967,859.0,16.2,203692.0,59749.6,116477.4,5.3,4.25
56,1965-09-01,16.9,2.4242424242424,18.6,14.7,18.6,11.3,3.6,,12828953395.4727,873.0,22.0,205405.0,61059.6,116713.5,5.3,4.25
57,1965-10-01,16.9,2.4242424242424,18.6,14.8,18.6,11.3,3.1,,12942830892.143799,889.0,17.2,207996.0,62445.4,117611.7,5.36,4.25
58,1965-11-01,17.0,3.03030303030304,18.7,14.9,18.7,11.3,3.6,,13114580559.2543,864.0,18.8,209350.0,62723.8,118763.0,5.42,4.25
59,1965-12-01,17.1,3.01204819277109,18.8,14.9,18.7,11.3,3.5,,13310599201.0652,881.0,25.6,211379.0,63635.3,119750.8,5.42,4.75
60,1966-01-01,17.1,3.01204819277109,18.9,14.9,18.8,11.3,3.4,,13038039946.7377,918.0,31.6,212128.0,63640.2,119159.4,5.41,4.75
61,1966-02-01,17.2,3.6144578313253,18.9,15.0,19.0,11.3,3.4,,12692673768.3089,895.0,31.0,214081.0,63968.6,120686.5,5.54,4.75
62,1966-03-01,17.3,4.21686746987952,18.9,15.1,19.0,11.3,3.3,,12840154460.719,883.0,31.4,215398.0,63738.2,122238.0,5.63,5.25
63,1966-04-01,17.4,4.19161676646705,19.0,15.1,19.2,11.4,3.2,,13138849533.9547,891.0,28.4,215696.0,64115.6,121860.6,5.6,5.25
64,1966-05-01,17.4,4.19161676646705,19.1,15.1,19.2,11.4,3.2,,13073509986.684399,862.0,15.4,215720.0,64127.4,122094.4,5.6,5.25
65,1966-06-01,17.5,3.5502958579882,19.1,15.1,19.3,11.4,2.9,,13308732356.857498,857.0,18.0,216677.0,64165.9,123673.4,5.64,5.25
66,1966-07-01,17.5,3.5502958579882,19.1,15.2,19.4,11.4,3.2,,13474881491.3449,843.0,20.6,217433.0,63914.5,124175.9,5.72,5.25
67,1966-08-01,17.6,4.14201183431955,19.1,15.2,19.4,11.4,3.5,,13579424766.9774,780.0,17.0,216585.0,62874.4,125368.8,5.88,5.25
68,1966-09-01,17.6,4.14201183431955,19.2,15.2,19.4,11.4,3.6,,13708237017.310299,761.0,17.4,218415.0,64526.9,125455.1,5.79,5.25
69,1966-10-01,17.6,4.14201183431955,19.2,15.3,19.4,11.5,3.3,,13932258322.237001,776.0,14.4,220091.0,65256.1,126137.2,5.73,5.25
70,1966-11-01,17.6,3.52941176470588,19.5,15.4,19.4,11.5,3.5,,14014399467.376799,771.0,7.4,219362.0,64941.3,125851.1,5.82,5.25
71,1966-12-01,17.7,3.50877192982456,19.5,15.4,19.4,11.5,3.4,,14408303595.2064,790.0,4.8,219659.0,65032.6,126220.0,5.86,5.25
72,1967-01-01,17.7,3.50877192982456,19.5,15.5,19.4,11.5,3.6,,14090940079.8935,843.0,-1.8,220089.0,65506.0,126787.4,5.62,5.25
73,1967-02-01,17.7,2.90697674418605,19.5,15.6,19.4,11.5,3.7,,13963994673.7683,851.0,-4.8,217765.0,64991.0,126209.4,5.57,5.0
74,1967-03-01,17.8,2.89017341040463,19.7,15.6,19.4,11.6,3.8,,14174948069.241,880.0,-9.4,218467.0,65125.3,127076.9,5.5,5.0
75,1967-04-01,17.9,2.87356321839081,19.9,15.9,19.5,11.9,3.9,,14524047936.0852,898.0,-14.4,221458.0,65757.0,128511.0,5.51,4.5
76,1967-05-01,18.0,3.44827586206898,19.9,15.9,19.6,12.0,3.7,,14494178428.7617,865.0,-11.0,223120.0,65467.5,130219.6,5.72,4.5
77,1967-06-01,18.1,3.42857142857142,20.0,16.0,19.7,12.0,3.6,,14632324900.1332,887.0,-6.4,223345.0,65775.3,130996.9,5.85,4.5
