DATE,TSX,RETAIL,POP,LFC,PTM,UNEMP,EI,CPIT,CPIC,AHPI,VHPI,CHPI,MHPI,THPI,THPIH,THPIA,NEWHL,STLP,NHSTRT,NHCMPL,HSTRT,RENT,ABS,UABS,ALOAN,DELR,OWN,RETAILC,CNEWHL,CNEWH,CNEWL,AVGPT,AVGPG,DMKT,INV,BONDS
1982-01,1786.91,,,,,,,49.9,52.2,,,,,,,,40.3,,968,"1,607",,49.3,,,,,54.1,,40.3,39.1,40.5,,,,,16.33
1982-02,1671.34,,,,,,,50.6,52.8,,,,,,,,40.3,,"1,392","1,722",,49.6,,,,,54.6,,40.3,38.9,40.6,,,,,15.5
1982-03,1587.83,,,,,,,51.5,53.5,,,,,,,,40.1,,"1,924","1,939",,49.9,,,,,55.0,,40.1,38.6,40.7,,,,,15.62
1982-04,1548.17,,,,,,,51.8,53.8,,,,,,,,39.9,,"1,565","1,209",,50,,,,,55.3,,39.9,38.5,40.6,,,,,15.35
1982-05,1523.68,,,,,,,52.6,54.5,,,,,,,,39.6,,"1,614","2,192",,50.4,,,,,55.8,,39.6,38.1,40.1,,,,,15.32
1982-06,1366.8,,,,,,,53.2,55.1,,,,,,,,39.3,,"1,133","1,893",,50.8,,,,,56.0,,39.3,38.1,39.5,,,,,16.48
1982-07,1411.9,,,,,,,53.5,55.4,,,,,,,,39,,801,"1,424",,51,,,,,56.4,,39.0,38.0,38.5,,,,,16.04
1982-08,1613.32,,,,,,,53.7,55.6,,,,,,,,38.8,,"1,987","2,397",,51.4,,,,,56.9,,38.8,37.8,38.2,,,,,14.63
1982-09,1602.01,,,,,,,53.8,55.9,,,,,,,,38.4,,914,"1,613",,51.8,,,,,57.1,,38.4,37.6,37.5,,,,,14.1
1982-10,1774.04,,,,,,,54.2,56.3,,,,,,,,38.3,,"1,860","1,286",,52.3,,,,,58.3,,38.3,37.4,37.5,,,,,13.34
1982-11,1838.31,,,,,,,54.7,56.6,,,,,,,,38,,"2,568","2,343",,52.8,,,,,58.1,,38.0,37.3,37.0,,,,,12.39
1982-12,1958.08,,,,,,,54.8,56.6,,,,,,,,37.9,,"2,338","1,832",,53.1,,,,,58.4,,37.9,37.2,37.0,,,,,11.92
1983-01,2031.47,,,,,,,54.6,56.5,,,,,,,,37.9,,"1,801","1,591",,53.4,,,,,58.4,,37.9,37.3,36.8,,,,,12.48
1983-02,2090.37,,,,,,,55,56.8,,,,,,,,37.9,,"1,506","1,925",,53.6,,,,,58.6,,37.9,37.2,36.8,,,,,12.06
1983-03,2156.06,,,,,,,55.5,57.4,,,,,,,,37.8,,"1,831","2,638",,53.9,,,,,58.7,,37.8,37.2,37.0,,,,,11.97
1983-04,2340.81,,,,,,,55.2,57.4,,,,,,,,37.8,,"2,082","1,742",,54.2,,,,,58.7,,37.8,37.0,37.2,,,,,11.45
1983-05,2420.65,,,,,,,55.2,57.5,,,,,,,,37.7,,"4,343","1,854",,54.2,,,,,58.7,,37.7,36.9,37.2,,,,,11.63
1983-06,2446.97,,,,,,,56.3,58.1,,,,,,,,37.8,,"2,191","3,016",,54.6,,,,,58.9,,37.8,37.0,37.4,,,,,11.93
1983-07,2477.62,,,,,,,56.5,58.4,,,,,,,,37.8,,"1,741","2,967",,55,,,,,59.1,,37.8,37.0,37.4,,,,,12.19
1983-08,2483.09,,,,,,,56.7,58.7,,,,,,,,38,,"1,682","1,954",,55.3,,,,,59.3,,38.0,37.2,37.2,,,,,12.55
1983-09,2499.58,,,,,,,56.7,58.7,,,,,,,,38,,"1,695","2,334",,55.5,,,,,59.3,,38.0,37.2,37.3,,,,,12.15
1983-10,2361.08,,,,,,,57.1,59.1,,,,,,,,37.9,,"2,292","2,456",,55.9,,,,,60.2,,37.9,37.2,37.2,,,,,12.09
1983-11,2540.89,,,,,,,56.9,59.1,,,,,,,,38,,"1,633","1,992",,56.1,,,,,60.2,,38.0,37.3,37.4,,,,,12.15
1983-12,2552.35,,,,,,,57.2,59.2,,,,,,,,37.9,,"2,474","1,713",,56.4,,,,,60.4,,37.9,37.2,37.2,,,,,12.29
1984-01,2468.88,,,,,,,57.6,59.6,,,,,,,,38,,"1,413","1,393",,56.7,,,,,60.4,,38.0,37.2,37.3,,,,,12.21
1984-02,2419.83,,,,,,,58.1,59.9,,,,,,,,38,,"1,412","1,658",,56.9,,,,,60.3,,38.0,37.4,37.3,,,,,12.61
1984-03,2382.1,,,,,,,58.1,60,,,,,,,,38.1,,804,"1,828",,57.1,,,,,60.2,,38.1,37.5,37.3,,,,,13.28
1984-04,2323.34,,,,,,,58.2,60.2,,,,,,,,38.2,,"1,868","1,570",,57.3,,,,,60.4,,38.2,37.6,37.4,,,,,13.54
1984-05,2229.75,,,,,,,58.3,60.2,,,,,,,,38.2,,"1,563","2,126",,57.4,,,,,60.4,,38.2,37.6,37.4,,,,,14.12
